asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31126658,56.64516875,0.036640944867,120.285126,2026-05-12 19:22,2026-05-13,2026-W20-3
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62422074,79.96978456,0.018386639168,60.359776,2026-06-30 08:48,2026-06-30,2026-W27-2
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93662011,60.27211961,0.010496245116,34.457140,2026-11-23 11:25,2026-11-23,2026-W48-1
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542524,-1.14799897,0.000037459594,0.122973,2026-01-26 15:33,2026-01-27,2026-W05-2
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940844,-5.37931844,0.000005516847,0.018111,2026-01-26 10:00,2026-01-26,2026-W05-1
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717412,-0.04256559,0.001267545558,4.161107,2026-10-16 23:29,2026-10-17,2026-W42-6
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356454,21.93132664,0.063174610029,207.390011,2026-11-04 08:39,2026-11-04,2026-W45-3
Sickle of Leo,6,5,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Zeta Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.07717275,20.22216347,0.017424445583,57.201081,2026-04-07 08:02,2026-04-07,2026-W15-2
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601691,34.89010019,0.011282784244,37.039196,2026-07-19 08:29,2026-07-19,2026-W29-7
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13208882,37.76123240,0.055235993406,181.329070,2026-09-08 11:51,2026-09-08,2026-W37-2
Teapot of Sagittarius,8,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680677,-29.51831082,0.021032962152,69.047142,2026-08-14 08:12,2026-08-14,2026-W33-5
Scorpius's Fishhook,13,8,Gamma Scorpii; Zeta Scorpii; Eta Scorpii; Theta Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Nu Scorpii,spherical-convex-hull-area-centroid,16.38633862,-31.95433949,0.108097745120,354.863964,2026-07-11 11:48,2026-07-11,2026-W28-6
Circlet of Pisces,7,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563542,3.74411786,0.007852094373,25.776905,2026-11-02 17:16,2026-11-03,2026-W45-2
Head of Cetus,5,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766289,6.76066884,0.011712389610,38.449507,2026-12-18 23:55,2026-12-19,2026-W51-6
Hyades / V of Taurus,5,5,Gamma Tauri; Theta Tauri; Aldebaran; Epsilon Tauri; Delta Tauri,spherical-convex-hull-area-centroid,4.46151299,17.06831432,0.002157221083,7.081739,2026-01-10 12:20,2026-01-11,2026-W02-7
Pleiades,7,5,Electra; Merope; Atlas; Pleione; Taygeta,spherical-convex-hull-area-centroid,3.77840926,24.16998915,0.000086869754,0.285177,2026-01-01 03:55,2026-01-01,2026-W01-4
Summer Triangle,3,3,Vega; Altair; Deneb,spherical-convex-hull-area-centroid,19.70399953,31.51605834,0.127348954140,418.061955,2026-09-01 09:05,2026-09-01,2026-W36-2
Winter Triangle,3,3,Betelgeuse; Sirius; Procyon,spherical-convex-hull-area-centroid,6.77633067,-1.34189429,0.093234250149,306.069988,2026-02-13 01:20,2026-02-13,2026-W07-5
Winter Hexagon / Winter Circle,6,6,Aldebaran; Rigel; Sirius; Procyon; Pollux; Capella,spherical-convex-hull-area-centroid,6.19752301,14.35492646,0.590359036456,1938.034394,2026-02-04 07:47,2026-02-04,2026-W06-3
Spring Triangle,3,3,Denebola; Spica; Arcturus,spherical-convex-hull-area-centroid,13.16054640,7.89631944,0.162860638099,534.639937,2026-05-25 13:54,2026-05-26,2026-W22-2
