finest_ngc,caldwell,catalog,identity_note,source
1,C55,NGC 7009,,RASC Finest NGC Observing Program Checklist v2.1a
2,C63,NGC 7293,,RASC Finest NGC Observing Program Checklist v2.1a
3,C30,NGC 7331,,RASC Finest NGC Observing Program Checklist v2.1a
4,C11,NGC 7635,,RASC Finest NGC Observing Program Checklist v2.1a
6,C18,NGC 185,,RASC Finest NGC Observing Program Checklist v2.1a
8,C13,NGC 457,,RASC Finest NGC Observing Program Checklist v2.1a
9,C10,NGC 663,,RASC Finest NGC Observing Program Checklist v2.1a
11,C22,NGC 7662,,RASC Finest NGC Observing Program Checklist v2.1a
12,C23,NGC 891,,RASC Finest NGC Observing Program Checklist v2.1a
13,C65,NGC 253,,RASC Finest NGC Observing Program Checklist v2.1a
15,C56,NGC 246,,RASC Finest NGC Observing Program Checklist v2.1a
17,C14,NGC 884,Double Cluster with NGC 869,RASC Finest NGC Observing Program Checklist v2.1a
31,C39,NGC 2392,,RASC Finest NGC Observing Program Checklist v2.1a
32,C49,NGC 2237,Rosette complex; Caldwell C49 is NGC 2237-2239,RASC Finest NGC Observing Program Checklist v2.1a
33,C46,NGC 2261,,RASC Finest NGC Observing Program Checklist v2.1a
37,C7,NGC 2403,,RASC Finest NGC Observing Program Checklist v2.1a
49,C53,NGC 3115,,RASC Finest NGC Observing Program Checklist v2.1a
50,C59,NGC 3242,,RASC Finest NGC Observing Program Checklist v2.1a
61,C26,NGC 4244,,RASC Finest NGC Observing Program Checklist v2.1a
62,C21,NGC 4449,,RASC Finest NGC Observing Program Checklist v2.1a
64,C32,NGC 4631,,RASC Finest NGC Observing Program Checklist v2.1a
66,C29,NGC 5005,,RASC Finest NGC Observing Program Checklist v2.1a
71,C36,NGC 4559,,RASC Finest NGC Observing Program Checklist v2.1a
72,C38,NGC 4565,,RASC Finest NGC Observing Program Checklist v2.1a
74,C60,NGC 4038,Antennae with NGC 4039; Caldwell C61 is the companion,RASC Finest NGC Observing Program Checklist v2.1a
89,C6,NGC 6543,,RASC Finest NGC Observing Program Checklist v2.1a
97,C15,NGC 6826,,RASC Finest NGC Observing Program Checklist v2.1a
98,C27,NGC 6888,,RASC Finest NGC Observing Program Checklist v2.1a
99a,C33,NGC 6992,Eastern Veil; Caldwell C33 also includes NGC 6995,RASC Finest NGC Observing Program Checklist v2.1a
99b,C34,NGC 6960,Western Veil,RASC Finest NGC Observing Program Checklist v2.1a
100,C20,NGC 7000,,RASC Finest NGC Observing Program Checklist v2.1a
108,C12,NGC 6946,,RASC Finest NGC Observing Program Checklist v2.1a
110,C2,NGC 40,,RASC Finest NGC Observing Program Checklist v2.1a
