finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
5,NGC 7789,OCL 269,Cas,OC,23.9567,56.7083,7.5,RASC Finest NGC Checklist v2.1a,2026-11-09 05:16,2026-11-09,2026-W46-1
7,NGC 281,PacMan Nebula,Cas,EN,0.8833,56.6167,7.4,RASC Finest NGC Checklist v2.1a,2026-11-22 17:13,2026-11-23,2026-W48-1
10,IC 289,PN G138.8+02.8,Cas,PN,3.1720,61.3169,12,RASC Finest NGC Checklist v2.1a,2026-12-24 04:36,2026-12-24,2026-W52-4
14,NGC 772,Arp 78,Ari,Gal,1.9889,19.0078,10.6,RASC Finest NGC Checklist v2.1a,2026-12-08 03:16,2026-12-08,2026-W50-2
16,NGC 936,MCG 0-7-17,Cet,Gal,2.4604,-1.1556,11.2,RASC Finest NGC Checklist v2.1a,2026-12-14 13:31,2026-12-15,2026-W51-2
18,NGC 1023,Arp 135,Per,Gal,2.6733,39.0633,9.6,RASC Finest NGC Checklist v2.1a,2026-12-17 10:47,2026-12-17,2026-W51-4
19,NGC 1491,Sh 2-206,Per,EN,4.0557,51.3214,,RASC Finest NGC Checklist v2.1a,2026-01-04 22:35,2026-01-05,2026-W02-1
20,NGC 1501,PN G144.5+06.5,Cam,PN,4.1164,60.9206,12,RASC Finest NGC Checklist v2.1a,2026-01-05 18:31,2026-01-06,2026-W02-2
21,NGC 1232,Arp 41,Eri,Gal,3.1626,-20.5808,10.6,RASC Finest NGC Checklist v2.1a,2026-12-24 01:33,2026-12-24,2026-W52-4
22,NGC 1535,Cleopatra's Eye,Eri,PN,4.2377,-12.7394,9.4,RASC Finest NGC Checklist v2.1a,2026-01-07 10:24,2026-01-07,2026-W02-3
23,NGC 1514,Crystal Ball Nebula,Tau,PN,4.1547,30.7758,10.8,RASC Finest NGC Checklist v2.1a,2026-01-06 07:06,2026-01-06,2026-W02-2
24,NGC 1931,,Aur,E/RN,5.5244,34.2486,14,RASC Finest NGC Checklist v2.1a,2026-01-25 11:31,2026-01-25,2026-W04-7
25,NGC 1788,vdB 33,Ori,RN,5.1150,-3.3333,,RASC Finest NGC Checklist v2.1a,2026-01-19 15:22,2026-01-20,2026-W04-2
26,NGC 1973,with NGC 1975 & 1977,Ori,E/RN,5.5850,-4.7333,7,RASC Finest NGC Checklist v2.1a,2026-01-26 08:28,2026-01-26,2026-W05-1
27,NGC 2022,PN G196.6-10.9,Ori,PN,5.7017,9.0864,11.7,RASC Finest NGC Checklist v2.1a,2026-01-28 01:00,2026-01-28,2026-W05-3
28,NGC 2024,Flame Nebula,Ori,EN,5.6950,-1.8500,,RASC Finest NGC Checklist v2.1a,2026-01-27 22:40,2026-01-28,2026-W05-3
29,NGC 2194,Collinder 87,Ori,OC,6.2292,12.8067,10,RASC Finest NGC Checklist v2.1a,2026-02-04 19:06,2026-02-05,2026-W06-4
30,NGC 2371,Gemini Nebula; 2372?,Gem,PN,7.4263,29.4906,11.2,RASC Finest NGC Checklist v2.1a,2026-02-23 03:41,2026-02-23,2026-W09-1
34,NGC 2359,Thor's Helmet,CMa,EN,7.3083,-13.2333,,RASC Finest NGC Checklist v2.1a,2026-02-21 07:09,2026-02-21,2026-W08-6
35,NGC 2440,,Pup,PN,7.6987,-18.2086,11.5,RASC Finest NGC Checklist v2.1a,2026-02-27 11:18,2026-02-27,2026-W09-5
