iso_week,monday_utc,sun,moon,mercury,venus,mars,jupiter,saturn,ceres,uranus,neptune
2025-W01,2024-12-30,♑ 8°46′,♐ 27°30′,♐ 17°21′,♒ 25°33′,♌ 2°33′,♊ 13°26′,♓ 14°23′,♒ 8°16′,♉ 23°41′,♓ 27°16′
2025-W02,2025-01-06,♑ 15°55′,♈ 2°55′,♐ 26°35′,♓ 3°01′,♌ 0°10′,♊ 12°43′,♓ 14°55′,♒ 10°55′,♉ 23°31′,♓ 27°22′
2025-W03,2025-01-13,♑ 23°03′,♋ 11°17′,♑ 6°37′,♓ 10°11′,♋ 27°27′,♊ 12°07′,♓ 15°31′,♒ 13°36′,♉ 23°24′,♓ 27°30′
2025-W04,2025-01-20,♒ 0°10′,♎ 10°09′,♑ 17°10′,♓ 16°59′,♋ 24°40′,♊ 11°41′,♓ 16°11′,♒ 16°18′,♉ 23°19′,♓ 27°39′
2025-W05,2025-01-27,♒ 7°17′,♑ 5°36′,♑ 28°11′,♓ 23°18′,♋ 22°04′,♊ 11°24′,♓ 16°53′,♒ 19°02′,♉ 23°16′,♓ 27°50′
2025-W06,2025-02-03,♒ 14°24′,♈ 13°38′,♒ 9°44′,♓ 29°00′,♋ 19°54′,♊ 11°17′,♓ 17°39′,♒ 21°46′,♉ 23°16′,♓ 28°02′
2025-W07,2025-02-10,♒ 21°30′,♋ 20°39′,♒ 21°52′,♈ 3°53′,♋ 18°18′,♊ 11°20′,♓ 18°26′,♒ 24°31′,♉ 23°19′,♓ 28°14′
2025-W08,2025-02-17,♒ 28°34′,♎ 18°01′,♓ 4°36′,♈ 7°42′,♋ 17°20′,♊ 11°33′,♓ 19°15′,♒ 27°16′,♉ 23°24′,♓ 28°28′
2025-W09,2025-02-24,♓ 5°37′,♑ 13°25′,♓ 17°33′,♈ 10°07′,♋ 17°01′,♊ 11°55′,♓ 20°05′,♓ 0°01′,♉ 23°31′,♓ 28°43′
2025-W10,2025-03-03,♓ 12°39′,♈ 23°30′,♓ 29°26′,♈ 10°49′,♋ 17°18′,♊ 12°26′,♓ 20°56′,♓ 2°45′,♉ 23°41′,♓ 28°58′
2025-W11,2025-03-10,♓ 19°40′,♌ 0°33′,♈ 7°35′,♈ 9°31′,♋ 18°09′,♊ 13°06′,♓ 21°48′,♓ 5°29′,♉ 23°54′,♓ 29°14′
2025-W12,2025-03-17,♓ 26°39′,♎ 26°18′,♈ 9°23′,♈ 6°20′,♋ 19°28′,♊ 13°54′,♓ 22°40′,♓ 8°11′,♉ 24°08′,♓ 29°29′
2025-W13,2025-03-24,♈ 3°36′,♑ 21°32′,♈ 5°08′,♈ 2°03′,♋ 21°12′,♊ 14°48′,♓ 23°31′,♓ 10°52′,♉ 24°24′,♓ 29°45′
2025-W14,2025-03-31,♈ 10°32′,♉ 2°21′,♓ 29°22′,♓ 28°01′,♋ 23°17′,♊ 15°49′,♓ 24°22′,♓ 13°31′,♉ 24°43′,♈ 0°01′
2025-W15,2025-04-07,♈ 17°26′,♌ 10°24′,♓ 26°50′,♓ 25°22′,♋ 25°40′,♊ 16°56′,♓ 25°12′,♓ 16°08′,♉ 25°02′,♈ 0°17′
2025-W16,2025-04-14,♈ 24°18′,♏ 4°59′,♓ 28°38′,♓ 24°39′,♋ 28°19′,♊ 18°09′,♓ 26°01′,♓ 18°43′,♉ 25°24′,♈ 0°32′
2025-W17,2025-04-21,♉ 1°09′,♒ 0°21′,♈ 3°52′,♓ 25°49′,♌ 1°11′,♊ 19°26′,♓ 26°48′,♓ 21°14′,♉ 25°46′,♈ 0°46′
2025-W18,2025-04-28,♉ 7°58′,♉ 10°38′,♈ 11°36′,♓ 28°35′,♌ 4°14′,♊ 20°46′,♓ 27°32′,♓ 23°42′,♉ 26°09′,♈ 1°00′
2025-W19,2025-05-05,♉ 14°46′,♌ 19°44′,♈ 21°14′,♈ 2°34′,♌ 7°27′,♊ 22°11′,♓ 28°15′,♓ 26°07′,♉ 26°33′,♈ 1°13′
2025-W20,2025-05-12,♉ 21°32′,♏ 13°49′,♉ 2°32′,♈ 7°29′,♌ 10°49′,♊ 23°38′,♓ 28°54′,♓ 28°27′,♉ 26°57′,♈ 1°25′
2025-W21,2025-05-19,♉ 28°17′,♒ 9°56′,♉ 15°28′,♈ 13°07′,♌ 14°18′,♊ 25°08′,♓ 29°31′,♈ 0°43′,♉ 27°21′,♈ 1°36′
2025-W22,2025-05-26,♊ 5°01′,♉ 19°03′,♉ 29°55′,♈ 19°18′,♌ 17°54′,♊ 26°40′,♈ 0°04′,♈ 2°53′,♉ 27°46′,♈ 1°45′
2025-W23,2025-06-02,♊ 11°44′,♌ 28°25′,♊ 15°14′,♈ 25°53′,♌ 21°36′,♊ 28°13′,♈ 0°33′,♈ 4°57′,♉ 28°10′,♈ 1°53′
2025-W24,2025-06-09,♊ 18°26′,♏ 22°33′,♋ 0°05′,♉ 2°48′,♌ 25°23′,♊ 29°48′,♈ 0°58′,♈ 6°55′,♉ 28°34′,♈ 2°00′
2025-W25,2025-06-16,♊ 25°07′,♒ 20°00′,♋ 13°22′,♉ 9°58′,♌ 29°14′,♋ 1°24′,♈ 1°19′,♈ 8°45′,♉ 28°57′,♈ 2°05′
2025-W26,2025-06-23,♋ 1°48′,♉ 28°11′,♋ 24°43′,♉ 17°21′,♍ 3°11′,♋ 2°59′,♈ 1°36′,♈ 10°26′,♉ 29°19′,♈ 2°08′
2025-W27,2025-06-30,♋ 8°29′,♍ 6°34′,♌ 3°58′,♉ 24°55′,♍ 7°11′,♋ 4°35′,♈ 1°47′,♈ 11°58′,♉ 29°40′,♈ 2°10′
2025-W28,2025-07-07,♋ 15°09′,♐ 0°57′,♌ 10°52′,♊ 2°36′,♍ 11°16′,♋ 6°11′,♈ 1°54′,♈ 13°20′,♉ 29°59′,♈ 2°10′
2025-W29,2025-07-14,♋ 21°50′,♓ 0°08′,♌ 14°52′,♊ 10°25′,♍ 15°24′,♋ 7°45′,♈ 1°56′,♈ 14°30′,♊ 0°17′,♈ 2°09′
2025-W30,2025-07-21,♋ 28°30′,♊ 8°11′,♌ 15°15′,♊ 18°20′,♍ 19°36′,♋ 9°19′,♈ 1°53′,♈ 15°27′,♊ 0°33′,♈ 2°06′
2025-W31,2025-07-28,♌ 5°12′,♍ 14°32′,♌ 11°55′,♊ 26°21′,♍ 23°51′,♋ 10°51′,♈ 1°45′,♈ 16°10′,♊ 0°48′,♈ 2°02′
2025-W32,2025-08-04,♌ 11°54′,♐ 9°01′,♌ 6°53′,♋ 4°27′,♍ 28°09′,♋ 12°21′,♈ 1°32′,♈ 16°37′,♊ 1°00′,♈ 1°56′
2025-W33,2025-08-11,♌ 18°36′,♓ 9°52′,♌ 4°15′,♋ 12°37′,♎ 2°31′,♋ 13°49′,♈ 1°15′,♈ 16°48′,♊ 1°11′,♈ 1°49′
2025-W34,2025-08-18,♌ 25°19′,♊ 18°51′,♌ 6°53′,♋ 20°52′,♎ 6°56′,♋ 15°13′,♈ 0°54′,♈ 16°41′,♊ 1°18′,♈ 1°41′
2025-W35,2025-08-25,♍ 2°04′,♍ 22°40′,♌ 15°02′,♋ 29°11′,♎ 11°24′,♋ 16°35′,♈ 0°29′,♈ 16°17′,♊ 1°24′,♈ 1°32′
2025-W36,2025-09-01,♍ 8°50′,♐ 16°55′,♌ 27°03′,♌ 7°34′,♎ 15°55′,♋ 17°52′,♈ 0°01′,♈ 15°34′,♊ 1°27′,♈ 1°22′
2025-W37,2025-09-08,♍ 15°37′,♓ 18°51′,♍ 10°31′,♌ 16°00′,♎ 20°29′,♋ 19°05′,♓ 29°31′,♈ 14°36′,♊ 1°28′,♈ 1°11′
2025-W38,2025-09-15,♍ 22°25′,♊ 29°42′,♍ 23°47′,♌ 24°29′,♎ 25°06′,♋ 20°14′,♓ 29°00′,♈ 13°22′,♊ 1°26′,♈ 1°00′
2025-W39,2025-09-22,♍ 29°15′,♎ 1°11′,♎ 6°17′,♍ 3°01′,♎ 29°47′,♋ 21°16′,♓ 28°27′,♈ 11°57′,♊ 1°22′,♈ 0°48′
2025-W40,2025-09-29,♎ 6°07′,♐ 25°01′,♎ 17°59′,♍ 11°37′,♏ 4°30′,♋ 22°13′,♓ 27°55′,♈ 10°25′,♊ 1°15′,♈ 0°36′
2025-W41,2025-10-06,♎ 13°00′,♓ 27°05′,♎ 28°57′,♍ 20°14′,♏ 9°17′,♋ 23°03′,♓ 27°23′,♈ 8°50′,♊ 1°06′,♈ 0°25′
2025-W42,2025-10-13,♎ 19°55′,♋ 10°12′,♏ 9°15′,♍ 28°54′,♏ 14°06′,♋ 23°45′,♓ 26°53′,♈ 7°17′,♊ 0°55′,♈ 0°14′
2025-W43,2025-10-20,♎ 26°51′,♎ 10°07′,♏ 18°49′,♎ 7°36′,♏ 18°59′,♋ 24°19′,♓ 26°26′,♈ 5°52′,♊ 0°42′,♈ 0°03′
2025-W44,2025-10-27,♏ 3°50′,♑ 3°33′,♏ 27°22′,♎ 16°19′,♏ 23°55′,♋ 24°45′,♓ 26°02′,♈ 4°38′,♊ 0°28′,♓ 29°54′
2025-W45,2025-11-03,♏ 10°49′,♈ 5°02′,♐ 4°03′,♎ 25°04′,♏ 28°54′,♋ 25°02′,♓ 25°42′,♈ 3°40′,♊ 0°12′,♓ 29°45′
2025-W46,2025-11-10,♏ 17°50′,♋ 19°48′,♐ 6°52′,♏ 3°50′,♐ 3°55′,♋ 25°09′,♓ 25°27′,♈ 2°58′,♉ 29°55′,♓ 29°38′
2025-W47,2025-11-17,♏ 24°53′,♎ 19°12′,♐ 2°41′,♏ 12°36′,♐ 9°00′,♋ 25°06′,♓ 25°16′,♈ 2°35′,♉ 29°38′,♓ 29°32′
2025-W48,2025-11-24,♐ 1°57′,♑ 12°36′,♏ 23°48′,♏ 21°24′,♐ 14°07′,♋ 24°54′,♓ 25°10′,♈ 2°31′,♉ 29°21′,♓ 29°27′
2025-W49,2025-12-01,♐ 9°02′,♈ 13°27′,♏ 20°51′,♐ 0°12′,♐ 19°18′,♋ 24°32′,♓ 25°10′,♈ 2°46′,♉ 29°03′,♓ 29°24′
2025-W50,2025-12-08,♐ 16°08′,♋ 28°20′,♏ 25°32′,♐ 9°00′,♐ 24°30′,♋ 24°01′,♓ 25°15′,♈ 3°18′,♉ 28°46′,♓ 29°22′
2025-W51,2025-12-15,♐ 23°15′,♎ 28°06′,♐ 3°56′,♐ 17°49′,♐ 29°46′,♋ 23°22′,♓ 25°25′,♈ 4°06′,♉ 28°30′,♓ 29°23′
2025-W52,2025-12-22,♑ 0°23′,♑ 21°51′,♐ 13°44′,♐ 26°37′,♑ 5°04′,♋ 22°36′,♓ 25°40′,♈ 5°10′,♉ 28°15′,♓ 29°25′
