asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31127249,56.64517044,0.036641185786,120.285917,2027-05-13 01:09,2027-05-13,2027-W19-4
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62421287,79.96985786,0.018386435956,60.359109,2027-06-30 14:34,2027-07-01,2027-W26-4
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93663705,60.27213262,0.010496626589,34.458392,2027-11-23 17:13,2027-11-24,2027-W47-3
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542514,-1.14800025,0.000037456554,0.122963,2027-01-26 21:21,2027-01-27,2027-W04-3
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940877,-5.37931310,0.000005516962,0.018111,2027-01-26 15:48,2027-01-27,2027-W04-3
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717389,-0.04257231,0.001267559424,4.161152,2027-10-17 05:16,2027-10-17,2027-W41-7
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356449,21.93132736,0.063174600602,207.389980,2027-11-04 14:27,2027-11-05,2027-W44-5
Sickle of Leo,6,4,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.11412408,20.07852438,0.017482335714,57.391123,2027-04-08 04:20,2027-04-08,2027-W14-4
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601313,34.89008074,0.011282947692,37.039732,2027-07-19 14:15,2027-07-20,2027-W29-2
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13209060,37.76123906,0.055236060522,181.329290,2027-09-08 17:38,2027-09-09,2027-W36-4
