asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Big Dipper,Alpha Ursae Majoris,Dubhe,11.0621550000,61.7510330000,1.81,Star Almanack expanded-bayer-stars.csv,HIP 54061,Star Almanack expanded-bayer-stars.csv,HIP 54061,
Big Dipper,Beta Ursae Majoris,Merak,11.0306770000,56.3824270000,2.34,Star Almanack expanded-bayer-stars.csv,HIP 53910,Star Almanack expanded-bayer-stars.csv,HIP 53910,
Big Dipper,Gamma Ursae Majoris,Phecda,11.8971680000,53.6947600000,2.41,Pinned HYG v4.1,HIP 58001,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 58001,
Big Dipper,Delta Ursae Majoris,Megrez,12.2570860000,57.0326170000,3.32,Pinned HYG v4.1,HIP 59774,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 59774,
Big Dipper,Epsilon Ursae Majoris,Alioth,12.9004720000,55.9598210000,1.76,Pinned HYG v4.1,HIP 62956,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 62956,
Big Dipper,Zeta Ursae Majoris,Mizar,13.3987470000,54.9253620000,2.23,Pinned HYG v4.1; positional cross-match 0.443 arcsec from CDS Sesame/SIMBAD * zet UMa,HIP 65378,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 65378,
Big Dipper,Eta Ursae Majoris,Alkaid,13.7923540000,49.3132650000,1.85,Pinned HYG v4.1,HIP 67301,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 67301,
Little Dipper,Polaris,Polaris,2.5297500000,89.2641090000,1.97,Star Almanack expanded-bayer-stars.csv,HIP 11767,Star Almanack expanded-bayer-stars.csv,HIP 11767,
Little Dipper,Beta Ursae Minoris,Kochab,14.8451050000,74.1555050000,2.07,Star Almanack expanded-bayer-stars.csv,HIP 72607,Star Almanack expanded-bayer-stars.csv,HIP 72607,
Little Dipper,Gamma Ursae Minoris,Pherkad,15.3454830000,71.8340160000,3.0,Pinned HYG v4.1,HIP 75097,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 75097,
Little Dipper,Delta Ursae Minoris,Yildun,17.5369180000,86.5864600000,4.35,Pinned HYG v4.1,HIP 85822,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 85822,
Little Dipper,Epsilon Ursae Minoris,Epsilon Ursae Minoris,16.7661590000,82.0372620000,4.21,Pinned HYG v4.1,HIP 82080,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 82080,
Little Dipper,Eta Ursae Minoris,Eta Ursae Minoris,16.2917910000,75.7553300000,4.95,Pinned HYG v4.1,HIP 79822,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 79822,
