name,abbr,figure_part,centroid_ra_h,centroid_dec_deg,sampled_area_sq_deg,centroid_step_deg,center_best_instant_utc,center_best_date,center_iso
Andromeda,And,,0.673700,40.481373,722.312,0.100,2027-11-19 23:00,2027-11-20,2027-W46-6
Antlia,Ant,,10.132168,-34.014043,238.638,0.100,2027-04-08 11:26,2027-04-08,2027-W14-4
Apus,Aps,,16.266004,-76.011441,206.449,0.100,2027-07-09 23:06,2027-07-10,2027-W27-6
Aquarius,Aqr,,22.398975,-10.457603,979.272,0.100,2027-10-16 06:48,2027-10-16,2027-W41-6
Aquila,Aql,,19.648225,2.107084,652.629,0.100,2027-08-31 16:43,2027-09-01,2027-W35-3
Ara,Ara,,17.338096,-54.254778,237.173,0.100,2027-07-25 23:02,2027-07-26,2027-W30-1
Aries,Ari,,2.659149,20.095565,441.590,0.100,2027-12-17 11:59,2027-12-17,2027-W50-5
Auriga,Aur,,5.941243,41.089542,657.264,0.100,2027-01-31 18:43,2027-02-01,2027-W05-1
Boötes,Boo,,14.594133,29.315199,906.807,0.100,2027-06-15 17:37,2027-06-16,2027-W24-3
Caelum,Cae,,4.752834,-38.059485,124.842,0.100,2027-01-14 19:09,2027-01-15,2027-W02-5
Camelopardalis,Cam,,5.691620,70.794387,757.020,0.100,2027-01-28 03:17,2027-01-28,2027-W04-4
Cancer,Cnc,,8.682241,19.288411,506.218,0.100,2027-03-15 15:11,2027-03-16,2027-W11-2
Canes Venatici,CVn,,13.159828,40.365056,465.351,0.100,2027-05-25 19:24,2027-05-26,2027-W21-3
Canis Major,CMa,,6.829751,-21.944581,380.044,0.100,2027-02-14 02:46,2027-02-14,2027-W06-7
Canis Minor,CMi,,7.629101,5.912443,183.468,0.100,2027-02-26 14:31,2027-02-27,2027-W08-6
Capricornus,Cap,,21.024351,-18.752818,413.821,0.100,2027-09-23 15:42,2027-09-24,2027-W38-5
Carina,Car,,8.775436,-63.051484,494.533,0.100,2027-03-17 03:51,2027-03-17,2027-W11-3
Cassiopeia,Cas,,1.023107,62.554323,598.496,0.100,2027-11-24 22:40,2027-11-25,2027-W47-4
Centaurus,Cen,,13.099548,-46.091643,1060.993,0.100,2027-05-24 21:56,2027-05-25,2027-W21-2
Cepheus,Cep,,22.323588,72.097587,588.665,0.100,2027-10-15 01:37,2027-10-15,2027-W41-5
Cetus,Cet,,1.627092,-8.999078,1232.039,0.100,2027-12-03 09:30,2027-12-03,2027-W48-5
Chamaeleon,Cha,,10.686679,-80.087901,131.140,0.100,2027-04-17 11:57,2027-04-17,2027-W15-6
Circinus,Cir,,14.817365,-63.225257,93.245,0.100,2027-06-18 22:54,2027-06-19,2027-W24-6
Columba,Col,,5.788137,-35.615388,270.278,0.100,2027-01-29 12:58,2027-01-30,2027-W04-6
Coma Berenices,Com,,12.753895,22.360760,386.669,0.100,2027-05-19 18:00,2027-05-20,2027-W20-4
Corona Australis,CrA,,18.647159,-41.199960,127.669,0.100,2027-08-15 09:18,2027-08-15,2027-W32-7
Corona Borealis,CrB,,15.884259,32.179185,178.701,0.100,2027-07-04 09:13,2027-07-04,2027-W26-7
Corvus,Crv,,12.424877,-18.148235,183.985,0.100,2027-05-14 18:41,2027-05-15,2027-W19-6
Crater,Crt,,11.405770,-15.707846,282.439,0.100,2027-04-28 23:44,2027-04-29,2027-W17-4
Crux,Cru,,12.447973,-60.069813,68.493,0.100,2027-05-15 03:06,2027-05-15,2027-W19-6
Cygnus,Cyg,,20.617448,43.087417,804.278,0.100,2027-09-16 20:21,2027-09-17,2027-W37-5
Delphinus,Del,,20.680341,12.174162,188.548,0.100,2027-09-17 21:37,2027-09-18,2027-W37-6
Dorado,Dor,,5.028121,-61.329961,179.250,0.100,2027-01-18 15:44,2027-01-19,2027-W03-2
Draco,Dra,,16.956426,68.128425,1082.224,0.100,2027-07-20 04:47,2027-07-20,2027-W29-2
Equuleus,Equ,,21.201495,7.469688,71.856,0.100,2027-09-26 14:39,2027-09-27,2027-W39-1
Eridanus,Eri,,3.800630,-21.013782,1138.214,0.100,2027-01-01 16:58,2027-01-02,2026-W53-6
Fornax,For,,2.767375,-31.527409,397.293,0.100,2027-12-18 23:08,2027-12-19,2027-W50-7
Gemini,Gem,,7.153033,23.438455,513.617,0.100,2027-02-19 02:42,2027-02-19,2027-W07-5
Grus,Gru,,22.524606,-45.240535,365.582,0.100,2027-10-18 07:13,2027-10-18,2027-W42-1
Hercules,Her,,17.297435,28.602502,1225.018,0.100,2027-07-25 08:13,2027-07-25,2027-W29-7
