finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
5,NGC 7789,OCL 269,Cas,OC,23.9567,56.7083,7.5,RASC Finest NGC Checklist v2.1a,2027-11-09 11:04,2027-11-09,2027-W45-2
7,NGC 281,PacMan Nebula,Cas,EN,0.8833,56.6167,7.4,RASC Finest NGC Checklist v2.1a,2027-11-22 23:00,2027-11-23,2027-W47-2
10,IC 289,PN G138.8+02.8,Cas,PN,3.1720,61.3169,12,RASC Finest NGC Checklist v2.1a,2027-12-24 10:24,2027-12-24,2027-W51-5
14,NGC 772,Arp 78,Ari,Gal,1.9889,19.0078,10.6,RASC Finest NGC Checklist v2.1a,2027-12-08 09:04,2027-12-08,2027-W49-3
16,NGC 936,MCG 0-7-17,Cet,Gal,2.4604,-1.1556,11.2,RASC Finest NGC Checklist v2.1a,2027-12-14 19:19,2027-12-15,2027-W50-3
18,NGC 1023,Arp 135,Per,Gal,2.6733,39.0633,9.6,RASC Finest NGC Checklist v2.1a,2027-12-17 16:35,2027-12-18,2027-W50-6
19,NGC 1491,Sh 2-206,Per,EN,4.0557,51.3214,,RASC Finest NGC Checklist v2.1a,2027-01-05 04:23,2027-01-05,2027-W01-2
20,NGC 1501,PN G144.5+06.5,Cam,PN,4.1164,60.9206,12,RASC Finest NGC Checklist v2.1a,2027-01-06 00:18,2027-01-06,2027-W01-3
21,NGC 1232,Arp 41,Eri,Gal,3.1626,-20.5808,10.6,RASC Finest NGC Checklist v2.1a,2027-12-24 07:21,2027-12-24,2027-W51-5
22,NGC 1535,Cleopatra's Eye,Eri,PN,4.2377,-12.7394,9.4,RASC Finest NGC Checklist v2.1a,2027-01-07 16:12,2027-01-08,2027-W01-5
23,NGC 1514,Crystal Ball Nebula,Tau,PN,4.1547,30.7758,10.8,RASC Finest NGC Checklist v2.1a,2027-01-06 12:53,2027-01-07,2027-W01-4
24,NGC 1931,,Aur,E/RN,5.5244,34.2486,14,RASC Finest NGC Checklist v2.1a,2027-01-25 17:18,2027-01-26,2027-W04-2
25,NGC 1788,vdB 33,Ori,RN,5.1150,-3.3333,,RASC Finest NGC Checklist v2.1a,2027-01-19 21:10,2027-01-20,2027-W03-3
26,NGC 1973,with NGC 1975 & 1977,Ori,E/RN,5.5850,-4.7333,7,RASC Finest NGC Checklist v2.1a,2027-01-26 14:16,2027-01-27,2027-W04-3
27,NGC 2022,PN G196.6-10.9,Ori,PN,5.7017,9.0864,11.7,RASC Finest NGC Checklist v2.1a,2027-01-28 06:48,2027-01-28,2027-W04-4
28,NGC 2024,Flame Nebula,Ori,EN,5.6950,-1.8500,,RASC Finest NGC Checklist v2.1a,2027-01-28 04:28,2027-01-28,2027-W04-4
29,NGC 2194,Collinder 87,Ori,OC,6.2292,12.8067,10,RASC Finest NGC Checklist v2.1a,2027-02-05 00:54,2027-02-05,2027-W05-5
30,NGC 2371,Gemini Nebula; 2372?,Gem,PN,7.4263,29.4906,11.2,RASC Finest NGC Checklist v2.1a,2027-02-23 09:28,2027-02-23,2027-W08-2
34,NGC 2359,Thor's Helmet,CMa,EN,7.3083,-13.2333,,RASC Finest NGC Checklist v2.1a,2027-02-21 12:56,2027-02-22,2027-W08-1
