messier,ra_h,best_instant_utc,best_date,iso
M1,5.575000,2027-01-26 10:49,2027-01-26,2027-W04-2
M2,21.558333,2027-10-02 12:58,2027-10-03,2027-W39-7
M3,13.703333,2027-06-02 19:25,2027-06-03,2027-W22-4
M4,16.393333,2027-07-11 20:02,2027-07-12,2027-W28-1
M5,15.310000,2027-06-26 01:28,2027-06-26,2027-W25-6
M6,17.668333,2027-07-30 17:40,2027-07-31,2027-W30-6
M7,17.898333,2027-08-03 03:05,2027-08-03,2027-W31-2
M8,18.063333,2027-08-05 13:31,2027-08-06,2027-W31-5
M9,17.320000,2027-07-25 17:11,2027-07-26,2027-W30-1
M10,16.951667,2027-07-20 06:59,2027-07-20,2027-W29-2
M11,18.851667,2027-08-17 05:40,2027-08-17,2027-W33-2
M12,16.786667,2027-07-17 19:58,2027-07-18,2027-W28-7
M13,16.695000,2027-07-16 12:01,2027-07-17,2027-W28-6
M14,17.626667,2027-07-30 03:03,2027-07-30,2027-W30-5
M15,21.500000,2027-10-01 16:04,2027-10-02,2027-W39-6
M16,18.313333,2027-08-09 04:53,2027-08-09,2027-W32-1
M17,18.346667,2027-08-09 16:40,2027-08-10,2027-W32-2
M18,18.331667,2027-08-09 11:22,2027-08-09,2027-W32-1
M19,17.043333,2027-07-21 15:11,2027-07-22,2027-W29-4
M20,18.038333,2027-08-05 04:35,2027-08-05,2027-W31-4
M21,18.076667,2027-08-05 18:08,2027-08-06,2027-W31-5
M22,18.606667,2027-08-13 13:26,2027-08-14,2027-W32-6
M23,17.946667,2027-08-03 20:12,2027-08-04,2027-W31-3
M24,18.306667,2027-08-09 02:31,2027-08-09,2027-W32-1
M25,18.528333,2027-08-12 09:50,2027-08-12,2027-W32-4
M26,18.753333,2027-08-15 18:38,2027-08-16,2027-W33-1
M27,19.993333,2027-09-03 20:11,2027-09-04,2027-W35-6
M28,18.408333,2027-08-10 15:28,2027-08-11,2027-W32-3
M29,20.398333,2027-09-10 04:44,2027-09-10,2027-W36-5
M30,21.673333,2027-10-04 04:51,2027-10-04,2027-W40-1
M31,0.711667,2027-11-20 12:03,2027-11-21,2027-W46-7
M32,0.711667,2027-11-20 12:03,2027-11-21,2027-W46-7
M33,1.565000,2027-12-01 23:42,2027-12-02,2027-W48-4
M34,2.700000,2027-12-17 14:14,2027-12-18,2027-W50-6
M35,6.148333,2027-02-04 01:37,2027-02-04,2027-W05-4
M36,5.601667,2027-01-26 20:18,2027-01-27,2027-W04-3
M37,5.873333,2027-01-30 15:57,2027-01-31,2027-W04-7
M38,5.478333,2027-01-25 04:10,2027-01-25,2027-W04-1
M39,21.536667,2027-10-02 04:56,2027-10-02,2027-W39-6
M40,12.370000,2027-05-13 23:29,2027-05-14,2027-W19-5
