asterism,member_count,median_mag,magnitude_method,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,2.23,median-member-magnitude,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31126658,56.64516875,0.036640944867,120.285126,2025-05-12 13:37,2025-05-13,2025-W20-2
Little Dipper,7,4.21,median-member-magnitude,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62422074,79.96978456,0.018386639168,60.359776,2025-06-30 03:02,2025-06-30,2025-W27-1
Cassiopeia's W,5,2.28,median-member-magnitude,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93662011,60.27211961,0.010496245116,34.457140,2025-11-23 05:38,2025-11-23,2025-W47-7
Orion's Belt,3,1.74,median-member-magnitude,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542524,-1.14799897,0.000037459594,0.122973,2025-01-26 09:46,2025-01-26,2025-W04-7
Orion's Sword,3,4.58,median-member-magnitude,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940844,-5.37931844,0.000005516847,0.018111,2025-01-26 04:13,2025-01-26,2025-W04-7
Water Jar,4,3.95,median-member-magnitude,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717412,-0.04256559,0.001267545558,4.161107,2025-10-16 17:42,2025-10-17,2025-W42-5
Great Square of Pegasus,4,2.46,median-member-magnitude,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356454,21.93132664,0.063174610029,207.390011,2025-11-04 02:53,2025-11-04,2025-W45-2
Sickle of Leo,6,3.20,median-member-magnitude,5,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Zeta Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.07717275,20.22216347,0.017424445583,57.201081,2025-04-07 02:16,2025-04-07,2025-W15-1
Keystone of Hercules,4,3.32,median-member-magnitude,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601691,34.89010019,0.011282784244,37.039196,2025-07-19 02:43,2025-07-19,2025-W29-6
Northern Cross,5,2.48,median-member-magnitude,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13208882,37.76123240,0.055235993406,181.329070,2025-09-08 06:05,2025-09-08,2025-W37-1
Teapot of Sagittarius,8,2.77,median-member-magnitude,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680677,-29.51831082,0.021032962152,69.047142,2025-08-14 02:26,2025-08-14,2025-W33-4
Scorpius's Fishhook,13,2.90,median-member-magnitude,8,Gamma Scorpii; Zeta Scorpii; Eta Scorpii; Theta Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Nu Scorpii,spherical-convex-hull-area-centroid,16.38633862,-31.95433949,0.108097745120,354.863964,2025-07-11 06:02,2025-07-11,2025-W28-5
Circlet of Pisces,7,4.49,median-member-magnitude,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563542,3.74411786,0.007852094373,25.776905,2025-11-02 11:29,2025-11-02,2025-W44-7
Head of Cetus,5,4.27,median-member-magnitude,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766289,6.76066884,0.011712389610,38.449507,2025-12-18 18:08,2025-12-19,2025-W51-5
