asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31126658,56.64516875,0.036640944867,120.285126,2027-05-13 01:09,2027-05-13,2027-W19-4
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62422074,79.96978456,0.018386639168,60.359776,2027-06-30 14:34,2027-07-01,2027-W26-4
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93662011,60.27211961,0.010496245116,34.457140,2027-11-23 17:13,2027-11-24,2027-W47-3
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542524,-1.14799897,0.000037459594,0.122973,2027-01-26 21:21,2027-01-27,2027-W04-3
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940844,-5.37931844,0.000005516847,0.018111,2027-01-26 15:48,2027-01-27,2027-W04-3
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717412,-0.04256559,0.001267545558,4.161107,2027-10-17 05:16,2027-10-17,2027-W41-7
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356454,21.93132664,0.063174610029,207.390011,2027-11-04 14:27,2027-11-05,2027-W44-5
Sickle of Leo,6,5,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Zeta Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.07717275,20.22216347,0.017424445583,57.201081,2027-04-07 13:49,2027-04-08,2027-W14-4
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601691,34.89010019,0.011282784244,37.039196,2027-07-19 14:15,2027-07-20,2027-W29-2
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13208882,37.76123240,0.055235993406,181.329070,2027-09-08 17:38,2027-09-09,2027-W36-4
Teapot of Sagittarius,8,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680677,-29.51831082,0.021032962152,69.047142,2027-08-14 13:58,2027-08-15,2027-W32-7
Scorpius's Fishhook,13,8,Gamma Scorpii; Zeta Scorpii; Eta Scorpii; Theta Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Nu Scorpii,spherical-convex-hull-area-centroid,16.38633862,-31.95433949,0.108097745120,354.863964,2027-07-11 17:34,2027-07-12,2027-W28-1
Circlet of Pisces,7,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563542,3.74411786,0.007852094373,25.776905,2027-11-02 23:03,2027-11-03,2027-W44-3
Head of Cetus,5,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766289,6.76066884,0.011712389610,38.449507,2027-12-19 05:43,2027-12-19,2027-W50-7
Hyades / V of Taurus,5,5,Gamma Tauri; Theta Tauri; Aldebaran; Epsilon Tauri; Delta Tauri,spherical-convex-hull-area-centroid,4.46151299,17.06831432,0.002157221083,7.081739,2027-01-10 18:08,2027-01-11,2027-W02-1
Pleiades,7,5,Electra; Merope; Atlas; Pleione; Taygeta,spherical-convex-hull-area-centroid,3.77840926,24.16998915,0.000086869754,0.285177,2027-01-01 09:43,2027-01-01,2026-W53-5
Summer Triangle,3,3,Vega; Altair; Deneb,spherical-convex-hull-area-centroid,19.70399953,31.51605834,0.127348954140,418.061955,2027-09-01 14:51,2027-09-02,2027-W35-4
Winter Triangle,3,3,Betelgeuse; Sirius; Procyon,spherical-convex-hull-area-centroid,6.77633067,-1.34189429,0.093234250149,306.069988,2027-02-13 07:07,2027-02-13,2027-W06-6
Winter Hexagon / Winter Circle,6,6,Aldebaran; Rigel; Sirius; Procyon; Pollux; Capella,spherical-convex-hull-area-centroid,6.19752301,14.35492646,0.590359036456,1938.034394,2027-02-04 13:35,2027-02-05,2027-W05-5
Spring Triangle,3,3,Denebola; Spica; Arcturus,spherical-convex-hull-area-centroid,13.16054640,7.89631944,0.162860638099,534.639937,2027-05-25 19:40,2027-05-26,2027-W21-3
Great Diamond,4,4,Beta Leonis; Alpha Virginis; Alpha Bootis; Alpha Canum Venaticorum,spherical-convex-hull-area-centroid,13.09630159,14.77610501,0.275510116528,904.446360,2027-05-24 20:47,2027-05-25,2027-W21-2
False Cross,4,4,Avior; Aspidiske; Markeb; Alsephina,spherical-convex-hull-area-centroid,8.93528253,-57.34741519,0.008660455190,28.430597,2027-03-19 18:52,2027-03-20,2027-W11-6
Southern Cross,4,4,Delta Crucis; Alpha Crucis; Beta Crucis; Gamma Crucis,spherical-convex-hull-area-centroid,12.50515805,-59.84748143,0.003875058779,12.721068,2027-05-15 23:55,2027-05-16,2027-W19-7
Southern Pointers,2,2,Alpha Centauri; Beta Centauri,great-circle-midpoint,14.35979960,-60.67819885,0.000000000000,0.000000,2027-06-12 08:22,2027-06-12,2027-W23-6
Coathanger,10,5,HD 182293; HD 182620; 4 Vulpeculae; HD 182955; 7 Vulpeculae,spherical-convex-hull-area-centroid,19.43392788,20.11339881,0.000111420392,0.365772,2027-08-28 03:55,2027-08-28,2027-W34-6
