finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source
1,NGC 7009,Saturn Nebula,Aqr,PN,21.0697,-11.3633,8.3,RASC Finest NGC Checklist v2.1a
2,NGC 7293,Helix,Aqr,PN,22.4940,-20.8372,6.3,RASC Finest NGC Checklist v2.1a
3,NGC 7331,Deer Lick Group,Peg,Gal,22.6179,34.4164,10.2,RASC Finest NGC Checklist v2.1a
4,NGC 7635,Bubble Nebula,Cas,EN,23.3453,61.2086,11,RASC Finest NGC Checklist v2.1a
5,NGC 7789,OCL 269,Cas,OC,23.9567,56.7083,7.5,RASC Finest NGC Checklist v2.1a
6,NGC 185,MCG 8-2-10,Cas,Gal,0.6494,48.3375,10.2,RASC Finest NGC Checklist v2.1a
7,NGC 281,PacMan Nebula,Cas,EN,0.8833,56.6167,7.4,RASC Finest NGC Checklist v2.1a
8,NGC 457,ET Cluster,Cas,OC,1.3264,58.2867,5.1,RASC Finest NGC Checklist v2.1a
9,NGC 663,Collinder 20,Cas,OC,1.7692,61.2350,6.4,RASC Finest NGC Checklist v2.1a
10,IC 289,PN G138.8+02.8,Cas,PN,3.1720,61.3169,12,RASC Finest NGC Checklist v2.1a
11,NGC 7662,Blue Snowball,And,PN,23.4317,42.5347,8.6,RASC Finest NGC Checklist v2.1a
12,NGC 891,Silver Needle,And,Gal,2.3760,42.3461,10.9,RASC Finest NGC Checklist v2.1a
13,NGC 253,Sculptor Galaxy,Scl,Gal,0.7925,-25.2889,7.9,RASC Finest NGC Checklist v2.1a
14,NGC 772,Arp 78,Ari,Gal,1.9889,19.0078,10.6,RASC Finest NGC Checklist v2.1a
15,NGC 246,Skull Nebula,Cet,PN,0.7843,-11.8720,10.4,RASC Finest NGC Checklist v2.1a
16,NGC 936,MCG 0-7-17,Cet,Gal,2.4604,-1.1556,11.2,RASC Finest NGC Checklist v2.1a
17,NGC 884,Double Cluster with 869,Per,OC,2.3717,57.1367,4.4,RASC Finest NGC Checklist v2.1a
18,NGC 1023,Arp 135,Per,Gal,2.6733,39.0633,9.6,RASC Finest NGC Checklist v2.1a
