proper,bayer,con,ra_h,dec_deg,catalog_v,representative_vmax,brightness_basis,in_alpha_beta_layer,hyg_id,hip,hd,hr,best_instant_utc,best_date,iso,mag_class,new_non_alpha_beta
Bellatrix,Gam,Ori,5.418851,6.349702,1.64,1.64,HYG v4.1 catalog V (stable baseline),no,25273,25336,35468,1790,2026-01-23T23:10,2026-01-24,2026-W04,2,yes
Mintaka,Del,Ori,5.533445,-0.299092,2.25,2.25,HYG v4.1 catalog V (stable baseline),no,25865,25930,36486,1852,2026-01-25T14:40,2026-01-26,2026-W05,2,yes
Alnilam,Eps,Ori,5.603559,-1.20192,1.69,1.69,HYG v4.1 catalog V (stable baseline),no,26246,26311,37128,1903,2026-01-26T14:56,2026-01-27,2026-W05,2,yes
Alnitak,Zet,Ori,5.679313,-1.942572,1.74,1.74,HYG v4.1 catalog V (stable baseline),no,26662,26727,37742,1948,2026-01-27T17:15,2026-01-28,2026-W05,2,yes
Saiph,Kap,Ori,5.795941,-9.669605,2.07,2.07,HYG v4.1 catalog V (stable baseline),no,27298,27366,38771,2004,2026-01-29T09:57,2026-01-29,2026-W05,2,yes
Alhena,Gam,Gem,6.628528,16.399252,1.93,1.93,HYG v4.1 catalog V (stable baseline),no,31601,31681,47105,2421,2026-02-10T19:23,2026-02-11,2026-W07,2,yes
Adhara,Eps,CMa,6.977097,-28.972084,1.5,1.5,HYG v4.1 catalog V (stable baseline),no,33492,33579,52089,2618,2026-02-16T03:31,2026-02-16,2026-W08,2,yes
Wezen,Del,CMa,7.139857,-26.3932,1.83,1.83,HYG v4.1 catalog V (stable baseline),no,34354,34444,54605,2693,2026-02-18T16:04,2026-02-19,2026-W08,2,yes
Aludra,Eta,CMa,7.401584,-29.303104,2.45,2.45,HYG v4.1 catalog V (stable baseline),no,35806,35904,58350,2827,2026-02-22T18:24,2026-02-23,2026-W09,2,yes
Naos,Zet,Pup,8.059737,-40.003148,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,39318,39429,66811,3165,2026-03-05T06:25,2026-03-05,2026-W10,2,yes
,Gam-2,Vel,8.158876,-47.336588,1.75,1.75,HYG v4.1 catalog V (stable baseline),no,39840,39953,68273,3207,2026-03-06T20:54,2026-03-07,2026-W10,2,yes
Avior,Eps,Car,8.375236,-59.509483,1.86,1.86,HYG v4.1 catalog V (stable baseline),no,40921,41037,71129,3307,2026-03-10T09:13,2026-03-10,2026-W11,2,yes
Alsephina,Del,Vel,8.745059,-54.708821,1.93,1.93,HYG v4.1 catalog V (stable baseline),no,42794,42913,74956,3485,2026-03-16T10:16,2026-03-16,2026-W12,2,yes
Suhail,Lam,Vel,9.133268,-43.432589,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,44689,44816,78647,3634,2026-03-22T19:24,2026-03-23,2026-W13,2,yes
Aspidiske,Iot,Car,9.284838,-59.275229,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,45425,45556,80404,3699,2026-03-25T07:19,2026-03-25,2026-W13,2,yes
