caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source,best_instant_utc,best_date,iso
C1,NGC 188,Cep,OC,0.7400,85.3333,8.1,14,,Astronomical League Caldwell Program Object List,2026-11-20 16:03,2026-11-21,2026-W47-6
C2,NGC 40,Cep,PN,0.2167,72.5333,11.6,0.6,,Astronomical League Caldwell Program Object List,2026-11-13 01:41,2026-11-13,2026-W46-5
C3,NGC 4236,Dra,SbG,12.2783,69.4667,9.7,21x7,,Astronomical League Caldwell Program Object List,2026-05-12 07:17,2026-05-12,2026-W20-2
C4,NGC 7023,Cep,BN,21.0300,68.2000,6.8,18x18,Iris Nebula,Astronomical League Caldwell Program Object List,2026-09-23 12:11,2026-09-24,2026-W39-4
C5,IC 342,Cam,SBcG,3.7800,68.1000,9.2,18x17,,Astronomical League Caldwell Program Object List,2026-01-01 04:26,2026-01-01,2026-W01-4
C5,IC 342,Cam,SBcG,3.7800,68.1000,9.2,18x17,,Astronomical League Caldwell Program Object List,2027-01-01 10:14,2027-01-01,2026-W53-5
C6,NGC 6543,Dra,PN,17.9767,66.6333,8.8,0.3/5.8,Cat's Eye Nebula,Astronomical League Caldwell Program Object List,2026-08-04 13:13,2026-08-05,2026-W32-3
C7,NGC 2403,Cam,ScG,7.6150,65.6000,8.9,18x10,,Astronomical League Caldwell Program Object List,2026-02-26 03:21,2026-02-26,2026-W09-4
C8,NGC 559,Cas,OC,1.4917,63.3000,9.5,4,,Astronomical League Caldwell Program Object List,2026-12-01 06:38,2026-12-01,2026-W49-2
C9,Sh2-155,Cep,BN,22.9467,62.6167,7.7,50x10,Cave Nebula,Astronomical League Caldwell Program Object List,2026-10-24 18:10,2026-10-25,2026-W43-7
C10,NGC 663,Cas,OC,1.7667,61.2500,7.1,16,,Astronomical League Caldwell Program Object List,2026-12-05 01:59,2026-12-05,2026-W49-6
C11,NGC 7635,Cas,BN,23.3450,61.2000,7.0,15x8,Bubble Nebula,Astronomical League Caldwell Program Object List,2026-10-30 22:50,2026-10-31,2026-W44-6
C12,NGC 6946,Cep,ScG,20.5800,60.1500,9.7,11x9,,Astronomical League Caldwell Program Object List,2026-09-15 23:32,2026-09-16,2026-W38-3
C13,NGC 457,Cas,OC,1.3183,58.3333,6.4,13,Phi Cassiopeiae Cluster,Astronomical League Caldwell Program Object List,2026-11-28 20:35,2026-11-29,2026-W48-7
C14,NGC 869/884,Per,OC,2.3333,57.1333,4.3,30+30,Double Cluster,Astronomical League Caldwell Program Object List,2026-12-12 20:04,2026-12-13,2026-W50-7
C15,NGC 6826,Cyg,PN,19.7467,50.5167,9.8,0.5/2.3,Blinking Planetary Nebula,Astronomical League Caldwell Program Object List,2026-09-02 02:03,2026-09-02,2026-W36-3
C16,NGC 7243,Lac,OC,22.2550,49.8833,6.4,21,,Astronomical League Caldwell Program Object List,2026-10-13 17:13,2026-10-14,2026-W42-3
C17,NGC 147,Cas,dE4G,0.5533,48.5000,9.3,13x8,,Astronomical League Caldwell Program Object List,2026-11-17 23:31,2026-11-18,2026-W47-3
C18,NGC 185,Cas,dE0G,0.6500,48.3333,9.2,12x9,,Astronomical League Caldwell Program Object List,2026-11-19 09:01,2026-11-19,2026-W47-4
C19,IC 5146,Cyg,BN,21.8917,47.2667,10.0,12x12,Cocoon Nebula,Astronomical League Caldwell Program Object List,2026-10-07 19:04,2026-10-08,2026-W41-4
C20,NGC 7000,Cyg,BN,20.9800,44.3333,6.0,120x100,North America Nebula,Astronomical League Caldwell Program Object List,2026-09-22 16:08,2026-09-23,2026-W39-3
C21,NGC 4449,CVn,IG,12.4700,44.1000,9.4,5x3,,Astronomical League Caldwell Program Object List,2026-05-15 05:21,2026-05-15,2026-W20-5
C22,NGC 7662,And,PN,23.4317,42.5500,9.2,0.3/2.2,,Astronomical League Caldwell Program Object List,2026-11-01 06:48,2026-11-01,2026-W44-7
C23,NGC 891,And,SbG,2.3767,42.3500,9.9,14x2,,Astronomical League Caldwell Program Object List,2026-12-13 10:14,2026-12-13,2026-W50-7
C24,NGC 1275,Per,SeyfertG,3.3300,41.5167,11.6,2.6x1,Perseus A,Astronomical League Caldwell Program Object List,2026-12-26 07:52,2026-12-26,2026-W52-6
C25,NGC 2419,Lyn,GC,7.6350,38.8833,10.4,4.1,,Astronomical League Caldwell Program Object List,2026-02-26 10:58,2026-02-26,2026-W09-4
C26,NGC 4244,CVn,SG,12.2917,37.8167,10.6,16x2.5,,Astronomical League Caldwell Program Object List,2026-05-12 12:12,2026-05-13,2026-W20-3
C27,NGC 6888,Cyg,BN,20.2000,38.3500,7.5,20x10,Crescent Nebula,Astronomical League Caldwell Program Object List,2026-09-09 15:03,2026-09-10,2026-W37-4
C28,NGC 752,And,OC,1.9633,37.6833,5.7,50,,Astronomical League Caldwell Program Object List,2026-12-07 18:51,2026-12-08,2026-W50-2
C29,NGC 5005,CVn,SbG,13.1817,37.0500,9.8,5.4x2,,Astronomical League Caldwell Program Object List,2026-05-25 21:25,2026-05-26,2026-W22-2
C30,NGC 7331,Peg,SbG,22.6183,34.4167,9.5,11x4,,Astronomical League Caldwell Program Object List,2026-10-19 13:23,2026-10-20,2026-W43-2
C31,IC 405,Aur,BN,5.2700,34.2667,6.0,30x19,Flaming Star Nebula,Astronomical League Caldwell Program Object List,2026-01-21 20:08,2026-01-22,2026-W04-4
C32,NGC 4631,CVn,ScG,12.7017,32.5333,9.3,15x3,Whale Galaxy,Astronomical League Caldwell Program Object List,2026-05-18 17:24,2026-05-19,2026-W21-2
C33,NGC 6992/6995,Cyg,SN,20.9400,31.7167,,60x8,Eastern Veil Nebula,Astronomical League Caldwell Program Object List,2026-09-22 00:06,2026-09-22,2026-W39-2
C34,NGC 6960,Cyg,SN,20.7617,30.7167,,70x6,Western Veil Nebula,Astronomical League Caldwell Program Object List,2026-09-19 00:31,2026-09-19,2026-W38-6
C35,NGC 4889,Com,E4G,13.0017,27.9833,11.4,3x2,,Astronomical League Caldwell Program Object List,2026-05-23 05:13,2026-05-23,2026-W21-6
C36,NGC 4559,Com,ScG,12.6000,27.9667,9.8,10x4,,Astronomical League Caldwell Program Object List,2026-05-17 04:36,2026-05-17,2026-W20-7
C37,NGC 6885,Vul,OC,20.2000,26.4833,5.7,7,,Astronomical League Caldwell Program Object List,2026-09-09 15:03,2026-09-10,2026-W37-4
C38,NGC 4565,Com,SbG,12.6050,25.9833,9.6,16x3,Needle Galaxy,Astronomical League Caldwell Program Object List,2026-05-17 06:24,2026-05-17,2026-W20-7
C39,NGC 2392,Gem,PN,7.4867,20.9167,9.9,0.2/0.7,Clown Face Nebula,Astronomical League Caldwell Program Object List,2026-02-24 02:33,2026-02-24,2026-W09-2
C40,NGC 3626,Leo,SbG,11.3350,18.3500,10.9,3x2,,Astronomical League Caldwell Program Object List,2026-04-27 15:07,2026-04-28,2026-W18-2
C41,Hyades,Tau,OC,4.4500,16.0000,1.0,330,Hyades,Astronomical League Caldwell Program Object List,2026-01-10 08:32,2026-01-10,2026-W02-6
C42,NGC 7006,Del,GC,21.0250,16.1833,10.6,2.8,,Astronomical League Caldwell Program Object List,2026-09-23 10:11,2026-09-23,2026-W39-3
C43,NGC 7814,Peg,SbG,0.0550,16.1500,10.5,6x2,,Astronomical League Caldwell Program Object List,2026-11-10 16:21,2026-11-11,2026-W46-3
C44,NGC 7479,Peg,SBbG,23.0817,12.3167,11.0,4x3,,Astronomical League Caldwell Program Object List,2026-10-26 20:53,2026-10-27,2026-W44-2
C45,NGC 5248,Boo,ScG,13.6250,8.8833,10.2,6x4,,Astronomical League Caldwell Program Object List,2026-06-01 10:08,2026-06-01,2026-W23-1
C46,NGC 2261,Mon,BN,6.6533,8.7333,10.0,2x1,Hubble's Variable Nebula,Astronomical League Caldwell Program Object List,2026-02-11 04:17,2026-02-11,2026-W07-3
C47,NGC 6934,Del,GC,20.5700,7.4000,8.9,5.9,,Astronomical League Caldwell Program Object List,2026-09-15 19:31,2026-09-16,2026-W38-3
C48,NGC 2775,Cnc,SaG,9.1717,7.0333,10.3,4.5x3,,Astronomical League Caldwell Program Object List,2026-03-23 10:28,2026-03-23,2026-W13-1
C49,NGC 2237-2239,Mon,BN,6.5383,5.0500,,80x60,Rosette Nebula,Astronomical League Caldwell Program Object List,2026-02-09 10:26,2026-02-09,2026-W07-1
C50,NGC 2244,Mon,OC,6.5400,4.8667,4.8,24,,Astronomical League Caldwell Program Object List,2026-02-09 11:03,2026-02-09,2026-W07-1
C51,IC 1613,Cet,IG,1.0800,2.1167,9.0,12x11,,Astronomical League Caldwell Program Object List,2026-11-25 12:11,2026-11-26,2026-W48-4
C52,NGC 4697,Vir,E4G,12.8100,-5.8000,9.3,6x3,,Astronomical League Caldwell Program Object List,2026-05-20 08:27,2026-05-20,2026-W21-3
C53,NGC 3115,Sex,E6G,10.0867,-7.7167,9.1,8x3,Spindle Galaxy,Astronomical League Caldwell Program Object List,2026-04-07 11:47,2026-04-07,2026-W15-2
C54,NGC 2506,Mon,OC,8.0033,-10.7833,7.6,7,,Astronomical League Caldwell Program Object List,2026-03-04 08:27,2026-03-04,2026-W10-3
C55,NGC 7009,Aqr,PN,21.0700,-11.3667,8.3,2.5/1,Saturn Nebula,Astronomical League Caldwell Program Object List,2026-09-24 04:13,2026-09-24,2026-W39-4
C56,NGC 246,Cet,PN,0.7833,-11.8833,8.0,3.8,,Astronomical League Caldwell Program Object List,2026-11-21 06:57,2026-11-21,2026-W47-6
C57,NGC 6822,Sgr,IG,19.7483,-14.8000,9.3,10x9,Barnard's Galaxy,Astronomical League Caldwell Program Object List,2026-09-02 02:41,2026-09-02,2026-W36-3
C58,NGC 2360,CMa,OC,7.2967,-15.6167,7.2,13,,Astronomical League Caldwell Program Object List,2026-02-21 02:47,2026-02-21,2026-W08-6
C59,NGC 3242,Hya,PN,10.4133,-18.6333,8.6,0.3/21,Ghost of Jupiter,Astronomical League Caldwell Program Object List,2026-04-12 19:46,2026-04-13,2026-W16-1
C60,NGC 4038,Crv,ScG,12.0317,-18.8667,11.3,2.6x1.8,Antennae Galaxies,Astronomical League Caldwell Program Object List,2026-05-08 12:25,2026-05-09,2026-W19-6
C61,NGC 4039,Crv,ScG,12.0317,-18.8833,13.0,3.2x2.2,Antennae Galaxies,Astronomical League Caldwell Program Object List,2026-05-08 12:25,2026-05-09,2026-W19-6
C62,NGC 247,Cet,SG,0.7850,-20.7667,8.9,20x7,,Astronomical League Caldwell Program Object List,2026-11-21 07:32,2026-11-21,2026-W47-6
C63,NGC 7293,Aqr,PN,22.4933,-20.8000,6.5,13,Helix Nebula,Astronomical League Caldwell Program Object List,2026-10-17 13:24,2026-10-18,2026-W42-7
