bayer_code,bayer,greek,suffix,con,proper,ra_h,dec_deg,mag,hyg_id,hip,hd,hr,best_instant_utc,best_date,iso,mag_class
Bet,β Ret,β,,Ret,,3.736593,-64.806903,3.84,17398,17440,23817,1175,2025-12-31T14:18,2026-01-01,2026-W01,4
Alp,α Hor,α,,Hor,,4.233363,-42.294368,3.85,19697,19747,26967,1326,2026-01-07T09:03,2026-01-07,2026-W02,4
Alp,α Ret,α,,Ret,,4.240404,-62.473858,3.33,19730,19780,27256,1336,2026-01-07T11:22,2026-01-07,2026-W02,3
Alp,α Dor,α,,Dor,,4.566598,-55.044975,3.3,21228,21281,29305,1465,2026-01-11T23:19,2026-01-12,2026-W03,3
Alp,α Tau,α,,Tau,Aldebaran,4.598677,16.509301,0.87,21368,21421,29139,1457,2026-01-12T10:00,2026-01-12,2026-W03,1
Alp,α Cae,α,,Cae,,4.676039,-41.863752,4.44,21717,21770,29875,1502,2026-01-13T11:47,2026-01-13,2026-W03,4
Bet,β Cae,β,,Cae,,4.700965,-37.144297,5.04,21808,21861,29992,1503,2026-01-13T20:06,2026-01-14,2026-W03,5
Alp,α Cam,α,,Cam,,4.900836,66.342678,4.26,22730,22783,30614,1542,2026-01-16T15:05,2026-01-17,2026-W03,4
Bet,β Men,β,,Men,,5.045279,-71.3143,5.3,23412,23467,33285,1677,2026-01-18T15:48,2026-01-19,2026-W04,5
Bet,β Cam,β,,Cam,,5.05697,60.442245,4.03,23467,23522,31910,1603,2026-01-18T19:46,2026-01-19,2026-W04,4
Bet,β Eri,β,,Eri,Cursa,5.130829,-5.086446,2.78,23820,23875,33111,1666,2026-01-19T20:48,2026-01-20,2026-W04,3
Bet,β Ori,β,,Ori,Rigel,5.242298,-8.20164,0.18,24378,24436,34085,1713,2026-01-21T10:43,2026-01-21,2026-W04,1
Alp,α Aur,α,,Aur,Capella,5.27815,45.997991,0.08,24549,24608,34029,1708,2026-01-21T22:57,2026-01-22,2026-W04,1
Bet,β Tau,β,,Tau,Elnath,5.438198,28.60745,1.65,25364,25428,35497,1791,2026-01-24T05:49,2026-01-24,2026-W04,2
Bet,β Lep,β,,Lep,Nihal,5.470756,-20.759441,2.81,25542,25606,36079,1829,2026-01-24T17:02,2026-01-25,2026-W04,3
Alp,α Lep,α,,Lep,Arneb,5.545504,-17.822289,2.58,25920,25985,36673,1865,2026-01-25T18:50,2026-01-26,2026-W05,3
Bet,β Dor,β,,Dor,,5.560421,-62.489825,3.76,26004,26069,37350,1922,2026-01-26T00:00,2026-01-26,2026-W05,4
Alp,α Col,α,,Col,Phact,5.660817,-34.074108,2.65,26569,26634,37795,1956,2026-01-27T10:49,2026-01-27,2026-W05,3
Bet,β Pic,β,,Pic,,5.788079,-51.066514,3.85,27253,27321,39060,2020,2026-01-29T07:12,2026-01-29,2026-W05,4
Bet,β Col,β,,Col,Wazn,5.849329,-35.768309,3.12,27559,27628,39425,2040,2026-01-30T04:39,2026-01-30,2026-W05,3
Alp,α Ori,α,,Ori,Betelgeuse,5.919529,7.407063,0.45,27919,27989,39801,2061,2026-01-31T05:20,2026-01-31,2026-W05,1
Bet,β Aur,β,,Aur,Menkalinan,5.992149,44.947433,1.9,28288,28360,40183,2088,2026-02-01T06:57,2026-02-01,2026-W05,2
Alp,α Men,α,,Men,,6.170632,-74.753045,5.08,29198,29271,43834,2261,2026-02-03T22:18,2026-02-04,2026-W06,5
Bet,β CMa,β,,CMa,Mirzam,6.378329,-17.955918,1.98,30251,30324,44743,2294,2026-02-07T00:43,2026-02-07,2026-W06,2
Alp,α Car,α,,Car,Canopus,6.399195,-52.69566,-0.62,30365,30438,45348,2326,2026-02-07T08:14,2026-02-07,2026-W06,1
Bet,β Mon,β,,Mon,,6.480297,-7.033062,3.76,30794,30867,45725,2356,2026-02-08T13:32,2026-02-09,2026-W07,4
