messier,ra_h,best_instant_utc,best_date,iso
M1,5.575000,2025-01-25 23:14,2025-01-26,2025-W04-7
M2,21.558333,2025-10-02 01:25,2025-10-02,2025-W40-4
M3,13.703333,2025-06-02 07:53,2025-06-02,2025-W23-1
M4,16.393333,2025-07-11 08:30,2025-07-11,2025-W28-5
M5,15.310000,2025-06-25 13:56,2025-06-26,2025-W26-4
M6,17.668333,2025-07-30 06:08,2025-07-30,2025-W31-3
M7,17.898333,2025-08-02 15:33,2025-08-03,2025-W31-7
M8,18.063333,2025-08-05 01:59,2025-08-05,2025-W32-2
M9,17.320000,2025-07-25 05:39,2025-07-25,2025-W30-5
M10,16.951667,2025-07-19 19:27,2025-07-20,2025-W29-7
M11,18.851667,2025-08-16 18:08,2025-08-17,2025-W33-7
M12,16.786667,2025-07-17 08:26,2025-07-17,2025-W29-4
M13,16.695000,2025-07-16 00:29,2025-07-16,2025-W29-3
M14,17.626667,2025-07-29 15:31,2025-07-30,2025-W31-3
M15,21.500000,2025-10-01 04:31,2025-10-01,2025-W40-3
M16,18.313333,2025-08-08 17:21,2025-08-09,2025-W32-6
M17,18.346667,2025-08-09 05:08,2025-08-09,2025-W32-6
M18,18.331667,2025-08-08 23:50,2025-08-09,2025-W32-6
M19,17.043333,2025-07-21 03:39,2025-07-21,2025-W30-1
M20,18.038333,2025-08-04 17:03,2025-08-05,2025-W32-2
M21,18.076667,2025-08-05 06:36,2025-08-05,2025-W32-2
M22,18.606667,2025-08-13 01:54,2025-08-13,2025-W33-3
M23,17.946667,2025-08-03 08:40,2025-08-03,2025-W31-7
M24,18.306667,2025-08-08 14:59,2025-08-09,2025-W32-6
M25,18.528333,2025-08-11 22:18,2025-08-12,2025-W33-2
M26,18.753333,2025-08-15 07:06,2025-08-15,2025-W33-5
M27,19.993333,2025-09-03 08:38,2025-09-03,2025-W36-3
M28,18.408333,2025-08-10 03:56,2025-08-10,2025-W32-7
M29,20.398333,2025-09-09 17:11,2025-09-10,2025-W37-3
M30,21.673333,2025-10-03 17:18,2025-10-04,2025-W40-6
M31,0.711667,2025-11-20 00:29,2025-11-20,2025-W47-4
M32,0.711667,2025-11-20 00:29,2025-11-20,2025-W47-4
M33,1.565000,2025-12-01 12:07,2025-12-02,2025-W49-2
M34,2.700000,2025-12-17 02:39,2025-12-17,2025-W51-3
M35,6.148333,2025-02-03 14:02,2025-02-04,2025-W06-2
M36,5.601667,2025-01-26 08:43,2025-01-26,2025-W04-7
M37,5.873333,2025-01-30 04:22,2025-01-30,2025-W05-4
M38,5.478333,2025-01-24 16:35,2025-01-25,2025-W04-6
M39,21.536667,2025-10-01 17:23,2025-10-02,2025-W40-4
M40,12.370000,2025-05-13 11:57,2025-05-13,2025-W20-2
M41,6.783333,2025-02-12 04:30,2025-02-12,2025-W07-3
M42,5.590000,2025-01-26 04:32,2025-01-26,2025-W04-7
M43,5.593333,2025-01-26 05:42,2025-01-26,2025-W04-7
M44,8.668333,2025-03-14 08:44,2025-03-14,2025-W11-5
M45,3.783333,2024-12-31 06:22,2024-12-31,2025-W01-2
M46,7.696667,2025-02-26 04:59,2025-02-26,2025-W09-3
M47,7.610000,2025-02-24 22:50,2025-02-25,2025-W09-2
M48,8.230000,2025-03-05 18:08,2025-03-06,2025-W10-4
M49,12.496667,2025-05-15 09:52,2025-05-15,2025-W20-4
M50,7.053333,2025-02-17 17:14,2025-02-18,2025-W08-2
M51,13.498333,2025-05-30 14:24,2025-05-31,2025-W22-6
M52,23.403333,2025-10-31 18:27,2025-11-01,2025-W44-6
M53,13.215000,2025-05-26 11:53,2025-05-26,2025-W22-1
M54,18.918333,2025-08-17 17:51,2025-08-18,2025-W34-1
M55,19.666667,2025-08-28 21:04,2025-08-29,2025-W35-5
M56,19.276667,2025-08-22 22:47,2025-08-23,2025-W34-6
M57,18.893333,2025-08-17 08:56,2025-08-17,2025-W33-7
M58,12.628333,2025-05-17 08:15,2025-05-17,2025-W20-6
M59,12.700000,2025-05-18 09:28,2025-05-18,2025-W20-7
M60,12.728333,2025-05-18 19:38,2025-05-19,2025-W21-1
M61,12.365000,2025-05-13 10:09,2025-05-13,2025-W20-2
M62,17.020000,2025-07-20 19:25,2025-07-21,2025-W30-1
M63,13.263333,2025-05-27 05:15,2025-05-27,2025-W22-2
M64,12.945000,2025-05-22 11:01,2025-05-22,2025-W21-4
M65,11.315000,2025-04-27 00:16,2025-04-27,2025-W17-7
M66,11.336667,2025-04-27 08:00,2025-04-27,2025-W17-7
M67,8.840000,2025-03-16 21:08,2025-03-17,2025-W12-1
M68,12.658333,2025-05-17 19:04,2025-05-18,2025-W20-7
M69,18.523333,2025-08-11 20:31,2025-08-12,2025-W33-2
M70,18.720000,2025-08-14 19:09,2025-08-15,2025-W33-5
M71,19.896667,2025-09-01 20:23,2025-09-02,2025-W36-2
M72,20.891667,2025-09-17 14:24,2025-09-18,2025-W38-4
M73,20.983333,2025-09-19 01:23,2025-09-19,2025-W38-5
M74,1.611667,2025-12-02 03:38,2025-12-02,2025-W49-2
M75,20.101667,2025-09-05 01:42,2025-09-05,2025-W36-5
M76,1.705000,2025-12-03 11:00,2025-12-03,2025-W49-3
M77,2.711667,2025-12-17 06:35,2025-12-17,2025-W51-3
M78,5.778333,2025-01-28 20:24,2025-01-29,2025-W05-3
M79,5.408333,2025-01-23 17:11,2025-01-24,2025-W04-5
M80,16.283333,2025-07-09 17:51,2025-07-10,2025-W28-4
M81,9.926667,2025-04-03 16:35,2025-04-04,2025-W14-5
M82,9.930000,2025-04-03 17:46,2025-04-04,2025-W14-5
M83,13.616667,2025-06-01 02:04,2025-06-01,2025-W22-7
M84,12.418333,2025-05-14 05:31,2025-05-14,2025-W20-3
M85,12.423333,2025-05-14 07:19,2025-05-14,2025-W20-3
M86,12.436667,2025-05-14 12:04,2025-05-15,2025-W20-4
M87,12.513333,2025-05-15 15:51,2025-05-16,2025-W20-5
M88,12.533333,2025-05-15 23:04,2025-05-16,2025-W20-5
M89,12.595000,2025-05-16 21:13,2025-05-17,2025-W20-6
M90,12.613333,2025-05-17 03:49,2025-05-17,2025-W20-6
M91,12.590000,2025-05-16 19:25,2025-05-17,2025-W20-6
M92,17.285000,2025-07-24 17:11,2025-07-25,2025-W30-5
M93,7.743333,2025-02-26 21:19,2025-02-27,2025-W09-4
M94,12.848333,2025-05-21 00:20,2025-05-21,2025-W21-3
M95,10.733333,2025-04-17 21:16,2025-04-18,2025-W16-5
M96,10.780000,2025-04-18 14:01,2025-04-19,2025-W16-6
M97,11.246667,2025-04-24 22:26,2025-04-25,2025-W17-5
M98,12.230000,2025-05-11 06:22,2025-05-11,2025-W19-7
M99,12.313333,2025-05-12 14:23,2025-05-13,2025-W20-2
M100,12.381667,2025-05-13 16:14,2025-05-14,2025-W20-3
M101,14.053333,2025-06-07 20:12,2025-06-08,2025-W23-7
M102,15.108333,2025-06-22 15:40,2025-06-23,2025-W26-1
M103,1.553333,2025-12-01 08:11,2025-12-01,2025-W49-1
M104,12.666667,2025-05-17 22:03,2025-05-18,2025-W20-7
M105,10.796667,2025-04-18 20:00,2025-04-19,2025-W16-6
M106,12.316667,2025-05-12 15:35,2025-05-13,2025-W20-2
M107,16.541667,2025-07-13 13:03,2025-07-14,2025-W29-1
M108,11.191667,2025-04-25 02:46,2025-04-25,2025-W17-5
M109,11.960000,2025-05-07 04:04,2025-05-07,2025-W19-3
M110,0.673333,2025-11-19 11:18,2025-11-19,2025-W47-3
