id,ngc,name,type,con,ra_h,dec_deg,mag,size_arcmin,best,iso,best_instant_utc,best_date
M45,,Pleiades,OC,Tau,3.78333333,24.11666667,1.6,110,2026-01-01,2026-W01,2026-01-01T05:33,2026-01-01
M79,1904,,GC,Lep,5.40833333,-24.55,7.7,8.7,2026-01-24,2026-W04,2026-01-23T19:33,2026-01-24
M38,1912,,OC,Aur,5.47833333,35.83333333,7.4,21,2026-01-25,2026-W04,2026-01-24T19:39,2026-01-25
M1,1952,Crab Nebula,SN,Tau,5.575,22.01666667,8.4,6x4,2026-01-26,2026-W05,2026-01-26T05:02,2026-01-26
M42,1976,Great Nebula in Orion,DN,Ori,5.59,-5.45,4.0,85x60,2026-01-26,2026-W05,2026-01-26T10:14,2026-01-26
M43,1982,De Mairan's Nebula,DN,Ori,5.59333333,-5.26666667,9.0,20x15,2026-01-26,2026-W05,2026-01-26T11:23,2026-01-26
M36,1960,,OC,Aur,5.60166667,34.13333333,6.3,12,2026-01-27,2026-W05,2026-01-26T14:17,2026-01-27
M78,2068,,DN,Ori,5.77833333,0.05,8.3,8x6,2026-01-29,2026-W05,2026-01-29T03:47,2026-01-29
M37,2099,,OC,Aur,5.87333333,32.55,6.2,24,2026-01-31,2026-W05,2026-01-30T13:05,2026-01-31
M35,2168,,OC,Gem,6.14833333,24.33333333,5.3,28,2026-02-04,2026-W06,2026-02-03T14:21,2026-02-04
M41,2287,,OC,CMa,6.78333333,-20.73333333,4.6,38,2026-02-13,2026-W07,2026-02-13T04:01,2026-02-13
M50,2323,,OC,Mon,7.05333333,-8.33333333,6.3,16,2026-02-17,2026-W08,2026-02-17T07:49,2026-02-17
M47,2422,,OC,Pup,7.61,-14.5,5.2,30,2026-02-26,2026-W09,2026-02-26T01:31,2026-02-26
M46,2437,,OC,Pup,7.69666667,-14.81666667,6.0,27,2026-02-27,2026-W09,2026-02-27T10:36,2026-02-27
M93,2447,,OC,Pup,7.74333333,-23.86666667,6.0,22,2026-02-28,2026-W09,2026-02-28T04:28,2026-02-28
M48,2548,,OC,Hya,8.23,-5.8,5.5,54,2026-03-08,2026-W10,2026-03-08T00:33,2026-03-08
M44,2632,Beehive Cluster,OC,Cnc,8.66833333,19.98333333,3.7,95,2026-03-15,2026-W11,2026-03-15T04:05,2026-03-15
M67,2682,,OC,Cnc,8.84,11.81666667,6.1,30,2026-03-18,2026-W12,2026-03-17T23:39,2026-03-18
M81,3031,Bode's Galaxy,SG,UMa,9.92666667,69.06666667,6.9,21x10,2026-04-05,2026-W14,2026-04-04T20:59,2026-04-05
M82,3034,Cigar Galaxy,IG,UMa,9.93,69.68333333,8.4,9x4,2026-04-05,2026-W14,2026-04-04T22:17,2026-04-05
M95,3351,,BG,Leo,10.73333333,11.7,9.7,4.4x3.3,2026-04-18,2026-W16,2026-04-18T00:25,2026-04-18
M96,3368,,SG,Leo,10.78,11.81666667,9.2,6x4,2026-04-19,2026-W16,2026-04-18T18:28,2026-04-19
M105,3379,,EG,Leo,10.79666667,12.58333333,9.3,2,2026-04-19,2026-W16,2026-04-19T00:55,2026-04-19
M108,3556,,SG,UMa,11.19166667,55.66666667,10.0,8x1,2026-04-25,2026-W17,2026-04-25T08:39,2026-04-25
M97,3587,Owl Nebula,PN,UMa,11.24666667,55.01666667,9.9,3.4x3.3,2026-04-26,2026-W17,2026-04-26T05:38,2026-04-26
M65,3623,,SG,Leo,11.315,13.08333333,9.3,8x1.5,2026-04-27,2026-W18,2026-04-27T07:39,2026-04-27
M66,3627,,SG,Leo,11.33666667,12.98333333,8.9,8x2.5,2026-04-28,2026-W18,2026-04-27T15:53,2026-04-28
M109,3992,,BG,UMa,11.96,53.38333333,9.8,7x4,2026-05-07,2026-W19,2026-05-07T10:03,2026-05-07
M98,4192,,SG,Com,12.23166667,14.91666667,10.1,9.5x3.2,2026-05-12,2026-W20,2026-05-11T14:22,2026-05-12
M99,4254,,SG,Com,12.315,14.43333333,9.9,5.4x4.8,2026-05-13,2026-W20,2026-05-12T20:56,2026-05-13
M106,4258,,SG,CVn,12.315,47.31666667,8.4,19x8,2026-05-13,2026-W20,2026-05-12T20:56,2026-05-13
M61,4303,,SG,Vir,12.365,4.46666667,9.7,6x5.5,2026-05-14,2026-W20,2026-05-13T15:14,2026-05-14
M40,,Winnecke 4,DS,UMa,12.37013889,58.08305556,8.4,0.8,2026-05-14,2026-W20,2026-05-13T17:07,2026-05-14
M100,4321,,SG,Com,12.38333333,15.83333333,9.3,7x6,2026-05-14,2026-W20,2026-05-13T21:56,2026-05-14
M84,4374,,LG,Vir,12.41833333,12.88333333,9.1,5,2026-05-14,2026-W20,2026-05-14T10:42,2026-05-14
M85,4382,,LG,Com,12.425,18.2,9.1,7.1x5.2,2026-05-15,2026-W20,2026-05-14T13:08,2026-05-15
M86,4406,,LG,Vir,12.43666667,12.95,8.9,7.5x5.5,2026-05-15,2026-W20,2026-05-14T17:24,2026-05-15
M49,4472,,EG,Vir,12.49666667,8.0,8.4,9x7.5,2026-05-16,2026-W20,2026-05-15T15:14,2026-05-16
M87,4486,,EG,Vir,12.51333333,12.4,8.6,7,2026-05-16,2026-W20,2026-05-15T21:18,2026-05-16
M88,4501,,SG,Com,12.535,14.43333333,9.6,7x4,2026-05-16,2026-W20,2026-05-16T05:10,2026-05-16
M91,4548,,BG,Com,12.59166667,14.5,10.2,5.4x4.4,2026-05-17,2026-W20,2026-05-17T01:44,2026-05-17
M89,4552,,EG,Vir,12.595,12.55,9.8,4,2026-05-17,2026-W20,2026-05-17T02:56,2026-05-17
M90,4569,,SG,Vir,12.61333333,13.16666667,9.5,9.5x4.5,2026-05-17,2026-W20,2026-05-17T09:35,2026-05-17
M58,4579,,BG,Vir,12.62833333,11.81666667,9.7,5.5x4.5,2026-05-18,2026-W21,2026-05-17T15:01,2026-05-18
M68,4590,,GC,Hya,12.65833333,-26.75,7.8,12,2026-05-18,2026-W21,2026-05-18T01:52,2026-05-18
M104,4594,Sombrero Galaxy,SG,Vir,12.66666667,-11.61666667,8.0,9x4,2026-05-18,2026-W21,2026-05-18T04:53,2026-05-18
M59,4621,,EG,Vir,12.7,11.65,9.6,5x3.5,2026-05-19,2026-W21,2026-05-18T16:55,2026-05-19
M60,4649,,EG,Vir,12.72833333,11.55,8.8,7x6,2026-05-19,2026-W21,2026-05-19T03:09,2026-05-19
M94,4736,,SG,CVn,12.84833333,41.13333333,8.2,7x3,2026-05-21,2026-W21,2026-05-20T22:21,2026-05-21
M64,4826,Black Eye Galaxy,SG,Com,12.945,21.68333333,8.5,9.3x5.4,2026-05-22,2026-W21,2026-05-22T09:02,2026-05-22
M53,5024,,GC,Com,13.215,18.16666667,7.6,12.6,2026-05-26,2026-W22,2026-05-26T09:22,2026-05-26
M63,5055,Sunflower Galaxy,SG,CVn,13.26333333,42.03333333,8.6,10x6,2026-05-27,2026-W22,2026-05-27T02:32,2026-05-27
M51,5194,Whirlpool Galaxy,SG,CVn,13.5,47.18333333,8.4,11x7,2026-05-31,2026-W22,2026-05-30T14:16,2026-05-31
M83,5236,Southern Pinwheel,SG,Hya,13.61666667,-29.86666667,7.6,11x10,2026-06-01,2026-W23,2026-06-01T07:21,2026-06-01
M3,5272,,GC,CVn,13.70333333,28.38333333,6.2,16.2,2026-06-03,2026-W23,2026-06-02T13:48,2026-06-03
M101,5457,Pinwheel Galaxy,SG,UMa,14.05333333,54.35,7.9,22,2026-06-08,2026-W24,2026-06-07T16:11,2026-06-08
M102,5866,Spindle Galaxy,LG,Dra,15.10833333,55.76666667,9.9,5.2x2.3,2026-06-23,2026-W26,2026-06-22T21:54,2026-06-23
M5,5904,,GC,Ser,15.31,2.08333333,5.6,17.4,2026-06-26,2026-W26,2026-06-25T19:46,2026-06-26
M80,6093,,GC,Sco,16.28333333,-22.98333333,7.3,8.9,2026-07-10,2026-W28,2026-07-09T23:33,2026-07-10
M4,6121,,GC,Sco,16.39333333,-26.53333333,5.6,26.3,2026-07-12,2026-W28,2026-07-11T14:21,2026-07-12
M107,6171,,GC,Oph,16.54166667,-13.05,7.9,10,2026-07-14,2026-W29,2026-07-13T18:52,2026-07-14
M13,6205,Great Hercules Globular,GC,Her,16.695,36.46666667,5.8,16.6,2026-07-16,2026-W29,2026-07-16T01:24,2026-07-16
M12,6218,,GC,Oph,16.78666667,-1.95,6.7,14.5,2026-07-17,2026-W29,2026-07-17T10:07,2026-07-17
M10,6254,,GC,Oph,16.95166667,-4.1,6.6,15.1,2026-07-20,2026-W30,2026-07-19T21:17,2026-07-20
