hip,ra_h,dec_deg
677,0.1397688887,29.0908280500
746,0.1528026907,59.1502181400
765,0.1568166327,-45.7469883600
1067,0.2205972187,15.1836159300
1562,0.3238008433,-8.8238294800
1599,0.3338650540,-64.8776232000
2021,0.4275561220,-77.2550351100
2081,0.4380187167,-42.3051219700
2484,0.5257113280,-62.9580854900
2912,0.6146774927,33.7193522700
3031,0.6426386827,29.3123690000
3092,0.6554437113,30.8612257900
3179,0.6751075660,56.5374092800
3419,0.7264523013,-17.9866841000
3693,0.7889972720,24.2673770300
3786,0.8113598240,7.5852018600
3881,0.8302304820,41.0789547400
4427,0.9451392053,60.7167496600
4436,0.9458604660,38.4992551300
4463,0.9534521580,23.4177599700
4577,0.9767627453,-29.3574643600
4906,1.0490710767,7.8900725600
5165,1.1014184753,-46.7184904200
5348,1.1397389133,-55.2458323500
5364,1.1431287980,-10.1819280000
5434,1.1583672720,47.2418241000
5447,1.1621659940,35.6208304800
5586,1.1943296473,30.0897296200
5737,1.2288339907,7.5754889500
5742,1.2291486760,24.5837648200
6193,1.3244383033,27.2640868200
6537,1.4004031140,-8.1827537200
6686,1.4301675113,60.2354034700
6867,1.4727615733,-43.3177290600
7007,1.5030397313,6.1439331400
7083,1.5208282040,-49.0730770100
7097,1.5247205173,15.3458310100
7588,1.6285421360,-57.2366600700
7607,1.6331951007,48.6284864100
7884,1.6905298760,5.4876044500
8068,1.7276709133,50.6887655000
8102,1.7347576273,-15.9395559700
8198,1.7565524193,9.1576410200
8645,1.8576696107,-10.3349452600
8796,1.8846943967,29.5793972700
8832,1.8921570040,19.2940926400
8886,1.9065787380,63.6701468600
8903,1.9106525140,20.8082994900
9007,1.9324534713,-51.6095867300
9236,1.9794088460,-61.5699244400
9487,2.0341112860,2.7637604800
9640,2.0649775220,42.3298483200
9677,2.0748416893,-29.2968396600
9884,2.1195238380,23.4627774300
10064,2.1590335887,34.9873920400
10670,2.2885654773,33.8473209900
10826,2.3224407353,-2.9770605500
11407,2.4497513873,-47.7038269200
11484,2.4693105240,8.4600887000
11767,2.5297431260,89.2641380500
12225,2.6234069080,-52.5430884500
12387,2.6580411927,0.3285168000
12413,2.6633109247,-42.8916332800
12484,2.6776610873,-54.5499242200
12486,2.6777588087,-39.8553090500
12653,2.7092106833,-50.8008266500
12706,2.7217012647,3.2361716200
12770,2.7353762373,-13.8586759400
12777,2.7365799940,49.2286663900
12828,2.7489926007,10.1142197900
12843,2.7516615173,-18.5726507700
13147,2.8181554087,-32.4062840300
13209,2.8330526073,27.2607904400
13268,2.8449424367,55.8955295500
13531,2.9042951333,52.7624899100
13701,2.9404454967,-8.8976097600
13847,2.9710321200,-40.3047349100
13884,2.9799350033,-64.0712971700
13954,2.9952489793,8.9074011100
14135,3.0379941860,4.0899253900
14146,3.0398869787,-23.6243361300
14240,3.0602510347,-59.7376199400
14328,3.0799417320,53.5064503100
14354,3.0862491693,38.8405329800
14576,3.1361471440,40.9556512000
14632,3.1508009087,49.6135000900
14668,3.1582303087,44.8578889600
14879,3.2011888880,-28.9891062300
15474,3.3252693553,-21.7579421000
15510,3.3314513427,-43.0715492900
15863,3.4053745927,49.8612428100
15900,3.4135660073,9.0290650400
16083,3.4528113660,9.7327724000
16228,3.4844817893,59.9403346100
16537,3.5490060060,-9.4583058400
16611,3.5631244253,-21.6328159700
16852,3.6145885973,0.4028331600
16870,3.6182439200,-40.2745107500
17358,3.7154116933,47.7876533000
17378,3.7208211373,-9.7651986800
17440,3.7365430273,-64.8070939800
17448,3.7386462313,32.2882732500
17499,3.7479232073,24.1134484000
17531,3.7534672507,24.4673787900
17573,3.7637758693,24.3678579600
17608,3.7721000900,23.9484620700
17651,3.7808302880,-23.2484380000
17678,3.7872865327,-74.2392425100
17702,3.7914067100,24.1052419300
17847,3.8193697793,24.0535241200
17851,3.8197789120,24.1368256500
17874,3.8242446900,-36.2001125000
17884,3.8253570627,65.5260064500
17959,3.8392988373,71.3323677700
18216,3.8951897160,-24.6122125300
18246,3.9021995753,31.8836577600
18532,3.9642280920,40.0102731500
18543,3.9671472413,-13.5082447100
18597,3.9790937487,-61.4001505900
18614,3.9827499280,35.7910270100
18673,3.9987433633,-24.0162567700
18724,4.0113390607,12.4903757100
18907,4.0526046687,5.9893090900
19167,4.1097375827,50.3513502200
19343,4.1443536847,47.7125935900
19587,4.1977592227,-6.8377787000
19747,4.2333559200,-42.2938729400
19780,4.2403975373,-62.4739788800
19812,4.2482938147,48.4093731200
19893,4.2670809507,-51.4870957800
19921,4.2747454220,-59.3017484100
20042,4.2982273787,-33.7983314500
20070,4.3040487413,50.2956394400
20205,4.3298705287,15.6277003100
20455,4.3822298147,17.5425843000
20535,4.4006014887,-34.0169863200
20889,4.4769259193,19.1805209200
20894,4.4776874793,15.8709468000
