iso_week,monday_utc,sun,moon,mercury,venus,mars,jupiter,saturn,ceres,uranus,neptune
2027-W01,2027-01-04,♑ 13°23′,♐ 1°32′,♑ 14°44′,♏ 26°31′,♍ 10°10′,♌ 26°15′,♈ 8°27′,♋ 18°06′,♊ 2°13′,♈ 1°45′
2027-W02,2027-01-11,♑ 20°31′,♒ 24°42′,♑ 26°14′,♐ 3°49′,♍ 10°26′,♌ 25°41′,♈ 8°48′,♋ 16°26′,♊ 2°02′,♈ 1°51′
2027-W03,2027-01-18,♑ 27°39′,♉ 24°55′,♒ 8°00′,♐ 11°22′,♍ 10°04′,♌ 25°00′,♈ 9°13′,♋ 14°49′,♊ 1°53′,♈ 1°59′
2027-W04,2027-01-25,♒ 4°46′,♍ 9°16′,♒ 19°39′,♐ 19°07′,♍ 9°04′,♌ 24°13′,♈ 9°43′,♋ 13°20′,♊ 1°46′,♈ 2°08′
2027-W05,2027-02-01,♒ 11°53′,♐ 10°25′,♒ 29°56′,♐ 27°01′,♍ 7°25′,♌ 23°21′,♈ 10°16′,♋ 12°05′,♊ 1°42′,♈ 2°19′
2027-W06,2027-02-08,♒ 18°59′,♓ 3°47′,♓ 5°43′,♑ 5°04′,♍ 5°13′,♌ 22°26′,♈ 10°54′,♋ 11°07′,♊ 1°41′,♈ 2°31′
2027-W07,2027-02-15,♒ 26°04′,♊ 4°39′,♓ 3°35′,♑ 13°11′,♍ 2°37′,♌ 21°31′,♈ 11°35′,♋ 10°29′,♊ 1°42′,♈ 2°43′
2027-W08,2027-02-22,♓ 3°08′,♍ 17°03′,♒ 26°08′,♑ 21°24′,♌ 29°50′,♌ 20°36′,♈ 12°18′,♋ 10°13′,♊ 1°46′,♈ 2°57′
2027-W09,2027-03-01,♓ 10°10′,♐ 18°47′,♒ 21°17′,♑ 29°41′,♌ 27°09′,♌ 19°45′,♈ 13°04′,♋ 10°17′,♊ 1°52′,♈ 3°12′
2027-W10,2027-03-08,♓ 17°11′,♓ 12°38′,♒ 21°56′,♒ 8°00′,♌ 24°46′,♌ 18°58′,♈ 13°53′,♋ 10°42′,♊ 2°01′,♈ 3°27′
2027-W11,2027-03-15,♓ 24°11′,♊ 15°17′,♒ 26°41′,♒ 16°22′,♌ 22°54′,♌ 18°18′,♈ 14°43′,♋ 11°26′,♊ 2°12′,♈ 3°42′
